,index,2,possible_values
21,COVIDeffect_4,1 = not at all affected to 7 = very much affected,"['1.0', '7.0', '2.0', '3.0', '6.0', '4.0', '5.0']"
22,SARS,"1 = Yes, 2 = No","['2.0', '1.0']"
23,CultCog_1,1 = strongly disagree - 6 = Strongly agree,"['3.0', '2.0', '4.0', '5.0', '1.0', '6.0']"
24,CultCog_2,1 = strongly disagree - 6 = Strongly agree,"['3.0', '6.0', '2.0', '1.0', '5.0', '4.0']"
25,CultCog_3,1 = strongly disagree - 6 = Strongly agree,"['1.0', '2.0', '6.0', '3.0', '4.0', '5.0']"
26,CultCog_4,1 = strongly disagree - 6 = Strongly agree,"['1.0', '2.0', '4.0', '3.0', '5.0', '6.0']"
27,CultCog_5,1 = strongly disagree - 6 = Strongly agree,"['6.0', '4.0', '1.0', '3.0', '2.0', '5.0']"
28,CultCog_6,1 = strongly disagree - 6 = Strongly agree,"['3.0', '4.0', '6.0', '2.0', '5.0', '1.0']"
29,prosocial,"1 = not at all, 7 = very much so","['5.0', '6.0', '7.0', '1.0', '4.0', '3.0', '2.0']"
30,CanadaQ_1,"1 = strongly disagree, 5 = strongly agree","['4.0', '5.0', '1.0', '2.0', '3.0']"
31,CanadaQ_2,"1 = strongly disagree, 5 = strongly agree","['3.0', '1.0', '5.0', '4.0', '2.0']"
32,CanadaQ_3,"1 = strongly disagree, 5 = strongly agree","['3.0', '2.0', '4.0', '5.0', '1.0']"
33,FinitePool_1,"1 = not at all worried, 7 = very worried","['6.0', '5.0', '7.0', '2.0', '1.0', '4.0', '3.0']"
34,FinitePool_2,"1 = not at all worried, 7 = very worried","['4.0', '6.0', '7.0', '1.0', '5.0', '3.0', '2.0']"
35,FinitePool_3,"1 = not at all worried, 7 = very worried","['7.0', '2.0', '4.0', '6.0', '1.0', '5.0', '3.0']"
36,FinitePool_4,"1 = not at all worried, 7 = very worried","['6.0', '2.0', '7.0', '4.0', '1.0', '3.0', '5.0']"
37,FinitePool_5,"1 = not at all worried, 7 = very worried","['6.0', '4.0', '7.0', '5.0', '1.0', '2.0', '3.0']"
38,FinitePool_6,"1 = not at all worried, 7 = very worried","['5.0', '6.0', '7.0', '1.0', '3.0', '4.0', '2.0']"
39,FinitePool_7,"1 = not at all worried, 7 = very worried","['6.0', '4.0', '7.0', '2.0', '1.0', '5.0', '3.0']"
40,FinitePool_8,"1 = not at all worried, 7 = very worried","['5.0', '6.0', '2.0', '7.0', '3.0', '4.0', '1.0']"
41,Longitude_1,"1 = not at all worried, 7 = very worried","['4.0', '2.0', '6.0', '5.0', '1.0', '7.0', '3.0']"
42,Longitude_2,"1 = not at all worried, 7 = very worried","['4.0', '1.0', '3.0', '5.0', '6.0', '7.0', '2.0']"
43,Longitude_3,"1 = not at all worried, 7 = very worried","['1.0', '5.0', '6.0', '2.0', '7.0', '4.0', '3.0']"
44,Personal_1,"1= not at all likely, 7 = very likely","['1.0', '2.0', '3.0', '5.0', '4.0', '6.0', '7.0']"
45,Personal_2,"1= not at all likely, 7 = very likely","['4.0', '3.0', '1.0', '5.0', '7.0', '6.0', '2.0']"
46,Personal_3,"1= not at all likely, 7 = very likely","['2.0', '1.0', '5.0', '3.0', '4.0', '6.0', '7.0']"
47,Personal_4,"1= not at all likely, 7 = very likely","['1.0', '3.0', '5.0', '2.0', '4.0', '6.0', '7.0']"
48,Personal_5,"1= not at all likely, 7 = very likely","['1.0', '2.0', '5.0', '4.0', '3.0', '6.0', '7.0']"
49,Personal_6,"1= not at all likely, 7 = very likely","['1.0', '2.0', '5.0', '4.0', '3.0', '7.0', '6.0']"
50,Personal_7,"1= not at all likely, 7 = very likely","['1.0', '3.0', '5.0', '4.0', '2.0', '6.0', '7.0']"
51,Personal_8,"1= not at all likely, 7 = very likely","['1.0', '3.0', '4.0', '7.0', '5.0', '6.0', '2.0']"
52,Friends_1,"1= not at all likely, 7 = very likely","['1.0', '3.0', '4.0', '5.0', '2.0', '6.0', '7.0']"
53,Friends_2,"1= not at all likely, 7 = very likely","['4.0', '1.0', '5.0', '6.0', '3.0', '7.0', '2.0']"
54,Friends_3,"1= not at all likely, 7 = very likely","['1.0', '2.0', '5.0', '4.0', '6.0', '3.0', '7.0']"
55,Friends_4,"1= not at all likely, 7 = very likely","['1.0', '3.0', '5.0', '2.0', '4.0', '6.0', '7.0']"
56,Friends_5,"1= not at all likely, 7 = very likely","['1.0', '5.0', '2.0', '4.0', '6.0', '7.0', '3.0']"
57,Friends_6,"1= not at all likely, 7 = very likely","['1.0', '2.0', '5.0', '4.0', '3.0', '6.0', '7.0']"
58,Friends_7,"1= not at all likely, 7 = very likely","['1.0', '5.0', '2.0', '4.0', '7.0', '3.0', '6.0']"
59,Friends_8,"1= not at all likely, 7 = very likely","['1.0', '4.0', '5.0', '7.0', '3.0', '2.0', '6.0']"
60,MediaExp_1,"1 = yes, 2 = no","['2.0', '1.0']"
61,MediaExp_2,"1 = yes, 2 = no","['2.0', '1.0']"
62,MediaExp_3,"1 = yes, 2 = no","['1.0', '2.0']"
63,MediaExp_4,"1 = yes, 2 = no","['1.0', '2.0']"
64,MediaExp_5,"1 = yes, 2 = no","['2.0', '1.0']"
65,MediaExp_6,"1 = yes, 2 = no","['1.0', '2.0']"
66,MediaExp_7,"1 = yes, 2 = no","['1.0', '2.0']"
67,PosterstrustQ1,"1 = didn't trust at all, 7 = completely trusted","['4.0', '3.0', '5.0', '6.0', '7.0', '1.0', '2.0']"
68,SocialmediatrustQ1,"1 = didn't trust at all, 7 = completely trusted","['2.0', '5.0', '1.0', '4.0', '7.0', '6.0', '3.0']"
69,journalisttrustQ1,"1 = didn't trust at all, 7 = completely trusted","['2.0', '4.0', '6.0', '5.0', '7.0', '3.0', '1.0']"
70,govtrustQ1,"1 = didn't trust at all, 7 = completely trusted","['2.0', '5.0', '6.0', '7.0', '4.0', '1.0', '3.0']"
71,workplacetrustQ1,"1 = didn't trust at all, 7 = completely trusted","['6.0', '5.0', '7.0', '2.0', '3.0', '4.0', '1.0']"
72,FriendstrustQ1,"1 = didn't trust at all, 7 = completely trusted","['4.0', '6.0', '7.0', '5.0', '3.0', '1.0', '2.0']"
73,WHOtrustQ1,"1 = didn't trust at all, 7 = completely trusted","['1.0', '6.0', '7.0', '5.0', '4.0', '2.0', '3.0']"
74,Soughtinfo,"1 = Yes, 2 = No","['1.0', '2.0']"
75,Govresponse_1,"1 = not at all, 7 = very much","['4.0', '5.0', '7.0', '6.0', '3.0', '2.0', '1.0']"
76,Govresponse_2,"1 = not at all, 7 = very much","['2.0', '6.0', '7.0', '3.0', '5.0', '4.0', '1.0']"
77,Govresponse_3,"1 = not at all, 7 = very much","['3.0', '7.0', '6.0', '4.0', '5.0', '1.0', '2.0']"
78,Govresponse_4,"1 = not at all, 7 = very much","['4.0', '6.0', '2.0', '7.0', '5.0', '3.0', '1.0']"
79,Govresponse_5,"1 = not at all, 7 = very much","['1.0', '6.0', '7.0', '5.0', '4.0', '3.0', '2.0']"
80,Govresponse_6,"1 = not at all, 7 = very much","['2.0', '3.0', '6.0', '7.0', '5.0', '4.0', '1.0']"
81,Govresponse_7,"1 = not at all, 7 = very much","['4.0', '6.0', '5.0', '7.0', '1.0', '3.0', '2.0']"
82,Govresponse_8,"1 = not at all, 7 = very much","['3.0', '5.0', '7.0', '4.0', '6.0', '1.0', '2.0']"
83,Govresponse_9,"1 = not at all, 7 = very much","['2.0', '5.0', '6.0', '7.0', '4.0', '3.0', '1.0']"
84,Govrestrict_1,"1 = not firm enough with restrictions on people, 7 = putting too many restrictions on people, 8 = I don't know the response","['4.0', '1.0', '7.0', '6.0', '5.0', '2.0', '3.0', '8.0']"
85,Govrestrict_2,"1 = not firm enough with restrictions on people, 7 = putting too many restrictions on people, 8 = I don't know the response","['4.0', '5.0', '1.0', '7.0', '6.0', '8.0', '2.0', '3.0']"
86,Govrestrict_3,"1 = not firm enough with restrictions on people, 7 = putting too many restrictions on people, 8 = I don't know the response","['3.0', '4.0', '5.0', '1.0', '7.0', '8.0', '2.0', '6.0']"
87,Sciunderstand,"1 = very limited understanding, 7 = very good understanding","['4.0', '5.0', '7.0', '6.0', '3.0', '1.0', '2.0']"
88,KnowledgeCert_1,"1 = very certain,  7 = very uncertain","['4.0', '5.0', '3.0', '7.0', '2.0', '1.0', '6.0']"
89,KnowledgeCert_2,"1 = very certain,  7 = very uncertain","['4.0', '5.0', '3.0', '7.0', '2.0', '6.0', '1.0']"
90,DemEdu,"1 = no formal above 16 to 5 = Masters, 9 = doctorate","['3.0', '4.0', '5.0', '2.0', '1.0', '9.0']"
91,DemHealthcare,"1 = yes, 2 = no","['2.0', '1.0']"
92,Ethnic min,"1 = yes, 2 = no, 4 = prefer not to answer","['2.0', '1.0', '4.0']"
93,Politics,1 (very left) to 7 (very right),"['4.0', '2.0', '6.0', '5.0', '3.0', '1.0', '7.0']"
