43,Longitude_1,"1 = not at all worried, 7 = very worried"
44,Longitude_2,"1 = not at all worried, 7 = very worried"
45,Longitude_3,"1 = not at all worried, 7 = very worried"
46,Personal_1,"1= not at all likely, 7 = very likely"
47,Personal_2,"1= not at all likely, 7 = very likely"
48,Personal_3,"1= not at all likely, 7 = very likely"
49,Personal_4,"1= not at all likely, 7 = very likely"
50,Personal_5,"1= not at all likely, 7 = very likely"
51,Personal_6,"1= not at all likely, 7 = very likely"
52,Personal_7,"1= not at all likely, 7 = very likely"
53,Personal_8,"1= not at all likely, 7 = very likely"
54,Friends_1,"1= not at all likely, 7 = very likely"
55,Friends_2,"1= not at all likely, 7 = very likely"
56,Friends_3,"1= not at all likely, 7 = very likely"
57,Friends_4,"1= not at all likely, 7 = very likely"
58,Friends_5,"1= not at all likely, 7 = very likely"
59,Friends_6,"1= not at all likely, 7 = very likely"
60,Friends_7,"1= not at all likely, 7 = very likely"
61,Friends_8,"1= not at all likely, 7 = very likely"
62,MediaExp_1,"1 = yes, 2 = no"
63,MediaExp_2,"1 = yes, 2 = no"
64,MediaExp_3,"1 = yes, 2 = no"
65,MediaExp_4,"1 = yes, 2 = no"
66,MediaExp_5,"1 = yes, 2 = no"
67,MediaExp_6,"1 = yes, 2 = no"
68,MediaExp_7,"1 = yes, 2 = no"
69,PosterstrustQ1,"1 = didn't trust at all, 7 = completely trusted"
70,SocialmediatrustQ1,"1 = didn't trust at all, 7 = completely trusted"
71,journalisttrustQ1,"1 = didn't trust at all, 7 = completely trusted"
72,govtrustQ1,"1 = didn't trust at all, 7 = completely trusted"
73,workplacetrustQ1,"1 = didn't trust at all, 7 = completely trusted"
74,FriendstrustQ1,"1 = didn't trust at all, 7 = completely trusted"
75,WHOtrustQ1,"1 = didn't trust at all, 7 = completely trusted"
76,Soughtinfo,"1 = Yes, 2 = No"
78,Govresponse_1,"1 = not at all, 7 = very much"
79,Govresponse_2,"1 = not at all, 7 = very much"
80,Govresponse_3,"1 = not at all, 7 = very much"
81,Govresponse_4,"1 = not at all, 7 = very much"
82,Govresponse_5,"1 = not at all, 7 = very much"
83,Govresponse_6,"1 = not at all, 7 = very much"
84,Govresponse_7,"1 = not at all, 7 = very much"
85,Govresponse_8,"1 = not at all, 7 = very much"
86,Govresponse_9,"1 = not at all, 7 = very much"
87,Govrestrict_1,"1 = not firm enough with restrictions on people, 7 = putting too many restrictions on people, 8 = I don't know the response"
88,Govrestrict_2,"1 = not firm enough with restrictions on people, 7 = putting too many restrictions on people, 8 = I don't know the response"
89,Govrestrict_3,"1 = not firm enough with restrictions on people, 7 = putting too many restrictions on people, 8 = I don't know the response"
90,Sciunderstand,"1 = very limited understanding, 7 = very good understanding"
91,KnowledgeCert_1,"1 = very certain,  7 = very uncertain"
92,KnowledgeCert_2,"1 = very certain,  7 = very uncertain"
101,DemEdu,"1 = no formal above 16 to 5 = Masters, 9 = doctorate"
102,DemHealthcare,"1 = yes, 2 = no"
103,Ethnic min,"1 = yes, 2 = no, 4 = prefer not to answer"
104,Politics,1 (very left) to 7 (very right)
